AcresBurned,AdminUnit,ArchiveYear,Counties,Extinguished,Fatalities,Latitude,Longitude,MajorIncident,Name,PersonnelInvolved,Started,WaterTenders,fire_duration,AdminUnitCleaned
257314.0,Stanislaus National Forest/Yosemite National Park,2013,Tuolumne,2013-09-06 18:30:00+00:00,,37.857,-120.086,False,Rim Fire,,2013-08-17 15:25:00+00:00,,20.12847222222222,stanislayosemitepark
30274.0,USFS Angeles National Forest/Los Angeles County/CAL FIRE,2013,Los Angeles,2013-06-08 18:30:00+00:00,,34.585595,-118.423176,False,Powerhouse Fire,,2013-05-30 15:28:00+00:00,,9.126388888888888,angelesla
27531.0,CAL FIRE Riverside Unit / San Bernardino National Forest,2013,Riverside,2013-07-30 18:00:00+00:00,,33.7095,-116.72885,False,Mountain Fire,,2013-07-15 13:43:00+00:00,,15.178472222222222,riversidesanbernardino
27440.0,Tahoe National Forest,2013,Placer,2013-08-30 08:00:00+00:00,,39.12,-120.65,False,American Fire,,2013-08-10 16:30:00+00:00,,19.645833333333332,tahoe
22992.0,Sierra National Forest,2013,Fresno,2013-09-24 20:15:00+00:00,,37.279,-119.318,False,Aspen Fire,,2013-07-22 22:15:00+00:00,,63.916666666666664,sierra
20292.0,CAL FIRE Riverside Unit / San Bernardino National Forest,2013,Riverside,2013-08-12 18:00:00+00:00,,33.86157,-116.90427,True,Silver Fire,2106.0,2013-08-07 14:05:00+00:00,20.0,5.163194444444445,riversidesanbernardino
14754.0,Klamath National Forest,2013,Siskiyou,2013-08-31 06:45:00+00:00,,41.32,-123.176,False,Salmon River Complex,,2013-07-31 22:00:00+00:00,,30.364583333333332,klamath
12503.0,Six Rivers National Forest,2013,Humboldt,2013-08-12 12:00:00+00:00,,41.035,-123.488,False,Corral Complex,,2013-08-10 11:40:00+00:00,,2.013888888888889,sixrivers
11429.0,CAL FIRE Tehama-Glenn Unit,2013,Tehama,2013-08-29 16:45:00+00:00,,40.04263,-121.85397,True,Deer Fire,898.0,2013-08-23 14:15:00+00:00,8.0,6.104166666666667,tehamaglenn
8073.0,CAL FIRE Shasta-Trinity Unit,2013,Shasta,2013-09-15 07:30:00+00:00,,40.498332,-122.535496,True,Clover Fire,342.0,2013-09-09 12:32:00+00:00,,5.790277777777778,shastatrinity
7055.0,CAL FIRE San Diego Unit / Cleveland National Forest,2013,San Diego,2013-07-15 06:15:00+00:00,,32.95435,-116.47381,True,Chariot Fire,2147.0,2013-07-06 12:55:00+00:00,24.0,8.722222222222221,sandiegoclevel
